experiment;nr_snails;rep;focal_species;treatment;day0;competitor_constant;day7;growth
2D;0;0A;Sp;with_algae;0;1.33014623;NA;NA
2D;0;0B;Sp;with_algae;0;1.33014623;NA;NA
2D;0;0C;Sp;with_algae;0;1.33014623;NA;NA
2D;0;0D;Sp;with_algae;0;1.33014623;NA;NA
2D;0;5A;Sp;with_algae;5;1.33014623;13;0.136501635
2D;0;5B;Sp;with_algae;5;1.33014623;17;0.174825062
2D;0;5C;Sp;with_algae;5;1.33014623;9;0.083969524
2D;0;5D;Sp;with_algae;5;1.33014623;12;0.125066962
2D;0;50A;Sp;with_algae;50;1.33014623;121;0.126252506
2D;0;50B;Sp;with_algae;50;1.33014623;111;0.113929599
2D;0;50C;Sp;with_algae;50;1.33014623;102;0.101849973
2D;0;50D;Sp;with_algae;50;1.33014623;124;0.129751223
2D;0;100A;Sp;with_algae;100;1.33014623;208;0.104623985
2D;0;100B;Sp;with_algae;100;1.33014623;225;0.115847174
2D;0;100C;Sp;with_algae;100;1.33014623;201;0.099733532
2D;0;100D;Sp;with_algae;100;1.33014623;203;0.10114797
2D;0;300A;Sp;with_algae;300;1.33014623;585;0.095404196
2D;0;300B;Sp;with_algae;300;1.33014623;570;0.091693412
2D;0;300C;Sp;with_algae;300;1.33014623;530;0.081299219
2D;0;300D;Sp;with_algae;300;1.33014623;534;0.082373338
2D;0;600A;Sp;with_algae;600;1.33014623;1038;0.078303058
2D;0;600B;Sp;with_algae;600;1.33014623;1098;0.086330852
2D;0;600C;Sp;with_algae;600;1.33014623;937;0.06367909
2D;0;600D;Sp;with_algae;600;1.33014623;885;0.05552257
2D;0;1000A;Sp;with_algae;1000;1.33014623;1447;0.052784635
2D;0;1000B;Sp;with_algae;1000;1.33014623;1461;0.054160162
2D;0;1000C;Sp;with_algae;1000;1.33014623;1593;0.066517004
2D;0;1000D;Sp;with_algae;1000;1.33014623;1686;0.074622694
2D;0;0E;Sp;without_algae;0;0;NA;NA
2D;0;0F;Sp;without_algae;0;0;NA;NA
2D;0;0G;Sp;without_algae;0;0;NA;NA
2D;0;5E;Sp;without_algae;5;0;16;0.166164401
2D;0;5F;Sp;without_algae;5;0;13;0.136501635
2D;0;5G;Sp;without_algae;5;0;22;0.211657792
2D;0;50E;Sp;without_algae;50;0;184;0.186130393
2D;0;50F;Sp;without_algae;50;0;171;0.175662936
2D;0;50G;Sp;without_algae;50;0;166;0.17142354
2D;0;100E;Sp;without_algae;100;0;304;0.158836788
2D;0;100F;Sp;without_algae;100;0;244;0.127428291
2D;0;100G;Sp;without_algae;100;0;288;0.151112899
2D;0;300E;Sp;without_algae;300;0;676;0.116058657
2D;0;300F;Sp;without_algae;300;0;681;0.117111404
2D;0;300G;Sp;without_algae;300;0;721;0.125265238
2D;0;600E;Sp;without_algae;600;0;1134;0.090939547
2D;0;600F;Sp;without_algae;600;0;1517;0.132508618
2D;0;600G;Sp;without_algae;600;0;1188;0.097585264
2D;0;1000E;Sp;without_algae;1000;0;2019;0.100371763
2D;0;1000F;Sp;without_algae;1000;0;1795;0.083572146
2D;0;1000G;Sp;without_algae;1000;0;1997;0.098806579
2C;0;000_A;Ch;with_duckweed;0.0095;100;0.3862;0.529294796
2C;0;000_B;Ch;with_duckweed;0.0095;100;1.4813;0.721340509
2C;0;000_C;Ch;with_duckweed;0.0095;100;0.751;0.624301979
2C;0;000_D;Ch;with_duckweed;0.0095;100;0.9908;0.6638887
