experiment;nr_snails;rep;focal_species;treatment;day0;competitor_constant;day7;growth
2D;0;0A;Sp;with_algae;0;1.33014623;NA;NA
2D;0;0B;Sp;with_algae;0;1.33014623;NA;NA
2D;0;0C;Sp;with_algae;0;1.33014623;NA;NA
2D;0;0D;Sp;with_algae;0;1.33014623;NA;NA
2D;0;5A;Sp;with_algae;5;1.33014623;13;0.205852054
2D;0;5B;Sp;with_algae;5;1.33014623;17;0.29479954
2D;0;5C;Sp;with_algae;5;1.33014623;9;0.108213585
2D;0;5D;Sp;with_algae;5;1.33014623;12;0.182321557
2D;0;50A;Sp;with_algae;50;1.33014623;121;0.184699679
2D;0;50B;Sp;with_algae;50;1.33014623;111;0.16066006
2D;0;50C;Sp;with_algae;50;1.33014623;102;0.138518934
2D;0;50D;Sp;with_algae;50;1.33014623;124;0.191800301
2D;0;100A;Sp;with_algae;100;1.33014623;208;0.143481723
2D;0;100B;Sp;with_algae;100;1.33014623;225;0.164303051
2D;0;100C;Sp;with_algae;100;1.33014623;201;0.134780612
2D;0;100D;Sp;with_algae;100;1.33014623;203;0.137274379
2D;0;300A;Sp;with_algae;300;1.33014623;585;0.12726178
2D;0;300B;Sp;with_algae;300;1.33014623;570;0.12095261
2D;0;300C;Sp;with_algae;300;1.33014623;530;0.103930923
2D;0;300D;Sp;with_algae;300;1.33014623;534;0.105646189
2D;0;600A;Sp;with_algae;600;1.33014623;1038;0.099198714
2D;0;600B;Sp;with_algae;600;1.33014623;1098;0.112052361
2D;0;600C;Sp;with_algae;600;1.33014623;937;0.077181475
2D;0;600D;Sp;with_algae;600;1.33014623;885;0.06565397
2D;0;1000A;Sp;with_algae;1000;1.33014623;1447;0.061901118
2D;0;1000B;Sp;with_algae;1000;1.33014623;1461;0.063779304
2D;0;1000C;Sp;with_algae;1000;1.33014623;1593;0.081316621
2D;0;1000D;Sp;with_algae;1000;1.33014623;1686;0.093490343
2D;0;0E;Sp;without_algae;0;0;NA;NA
2D;0;0F;Sp;without_algae;0;0;NA;NA
2D;0;0G;Sp;without_algae;0;0;NA;NA
2D;0;5E;Sp;without_algae;5;0;16;0.273293335
2D;0;5F;Sp;without_algae;5;0;13;0.205852054
2D;0;5G;Sp;without_algae;5;0;22;0.395895657
2D;0;50E;Sp;without_algae;50;0;184;0.324151752
2D;0;50F;Sp;without_algae;50;0;171;0.29692494
2D;0;50G;Sp;without_algae;50;0;166;0.28625248
2D;0;100E;Sp;without_algae;100;0;304;0.255749025
2D;0;100F;Sp;without_algae;100;0;244;0.18707216
2D;0;100G;Sp;without_algae;100;0;288;0.237891408
2D;0;300E;Sp;without_algae;300;0;676;0.16470701
2D;0;300F;Sp;without_algae;300;0;681;0.16672436
2D;0;300G;Sp;without_algae;300;0;721;0.182718303
2D;0;600E;Sp;without_algae;600;0;1134;0.119685986
2D;0;600F;Sp;without_algae;600;0;1517;0.197483805
2D;0;600G;Sp;without_algae;600;0;1188;0.131028262
2D;0;1000E;Sp;without_algae;1000;0;2019;0.135903577
2D;0;1000F;Sp;without_algae;1000;0;1795;0.107572353
2D;0;1000G;Sp;without_algae;1000;0;1997;0.133156322
2C;0;000_A;Ch;with_duckweed;0.0095;100;0.3862;1.896819188
2C;0;000_B;Ch;with_duckweed;0.0095;100;1.4813;3.141231242
2C;0;000_C;Ch;with_duckweed;0.0095;100;0.751;2.497360111
2C;0;000_D;Ch;with_duckweed;0.0095;100;0.9908;2.757246059
