experiment;rep;nr_snails;focal_species;treatment;hour0;hour24;leftover
3A;2_herb;1;Sp;herb;100;64;64
3A;3_herb;1;Sp;herb;100;61;61
3A;4_herb;1;Sp;herb;100;70;70
3A;5_herb;1;Sp;herb;100;36;36
3A;6_herb;1;Sp;herb;100;42;42
3A;7_herb;1;Sp;herb;100;56;56
3A;9_ctr;0;Sp;ctr;100;100;100
3A;10_ctr;0;Sp;ctr;100;102;102
3A;11_ctr;0;Sp;ctr;100;105;105
3A;12_ctr;0;Sp;ctr;100;100;100
3B;1_herb;1;Ch;herb;12.5984252;7.704396325;7.704396325
3B;2_herb;1;Ch;herb;12.5984252;7.789829396;7.789829396
3B;3_herb;1;Ch;herb;12.5984252;11.45439633;11.45439633
3B;4_herb;1;Ch;herb;12.5984252;5.187335958;5.187335958
3B;5_herb;1;Ch;herb;12.5984252;6.631692913;6.631692913
3B;6_herb;1;Ch;herb;12.5984252;6.890748031;6.890748031
3B;7_herb;1;Ch;herb;12.5984252;4.613451444;4.613451444
3B;8_herb;1;Ch;herb;12.5984252;6.272375328;6.272375328
3B;9_ctr;0;Ch;ctr;12.5984252;23.21187664;23.21187664
3B;10_ctr;0;Ch;ctr;12.5984252;16.54862205;16.54862205
3B;11_ctr;0;Ch;ctr;12.5984252;17.30269029;17.30269029
3B;12_ctr;0;Ch;ctr;12.5984252;17.63024934;17.63024934
