Experiment;rep;Nr_snails;focal_species;treatment;treatment2;Sp_day0;Sp_day14;Ch_day0;Ch_day14;Sp_growthrate;Ch_growthrate
4;B1;1;all;SpMedium_ChMediumLow;herbivory;200;480;1.2992;2.804;0.095;0.079
4;B2;1;all;SpMedium_ChMediumLow;herbivory;200;639;1.2992;1.925;0.146;0.034
4;B4;1;all;SpMedium_ChMediumLow;herbivory;200;279;1.2992;1.765;0.028;0.025
4;C1;0;all;SpMedium_ChMediumLow;control;200;230;1.2992;9.307;0.011;0.365
4;C2;0;all;SpMedium_ChMediumLow;control;200;139;1.2992;6.981;-0.022;0.272
4;C3;0;all;SpMedium_ChMediumLow;control;200;191;1.2992;8.333;-0.003;0.327
4;C4;0;all;SpMedium_ChMediumLow;control;200;216;1.2992;8.783;0.006;0.345
4;C5;0;all;SpMedium_ChMediumLow;control;200;195;1.2992;11.588;-0.002;0.448
4;C6;0;all;SpMedium_ChMediumLow;control;200;173;1.2992;6.387;-0.010;0.247
4;C7;0;all;SpMedium_ChMediumLow;control;200;181;1.2992;6.460;-0.007;0.250
4;C8;0;all;SpMedium_ChMediumLow;control;200;157;1.2992;4.925;-0.015;0.182
4;E1;1;all;SpMedium_ChMediumHigh;herbivory;200;521;4.2126;8.369;0.109;0.068
4;E3;1;all;SpMedium_ChMediumHigh;herbivory;200;697;4.2126;9.367;0.163;0.084
4;E4;1;all;SpMedium_ChMediumHigh;herbivory;200;685;4.2126;6.656;0.160;0.041
4;F1;0;all;SpMedium_ChMediumHigh;control;200;154;4.2126;13.260;-0.017;0.143
4;F2;0;all;SpMedium_ChMediumHigh;control;200;151;4.2126;14.472;-0.018;0.160
4;F3;0;all;SpMedium_ChMediumHigh;control;200;152;4.2126;7.757;-0.017;0.058
4;F4;0;all;SpMedium_ChMediumHigh;control;200;152;4.2126;8.414;-0.017;0.069
4;F5;0;all;SpMedium_ChMediumHigh;control;200;198;4.2126;9.695;-0.001;0.089
4;F6;0;all;SpMedium_ChMediumHigh;control;200;137;4.2126;10.606;-0.023;0.103
4;F7;0;all;SpMedium_ChMediumHigh;control;200;131;4.2126;12.001;-0.025;0.124
4;F8;0;all;SpMedium_ChMediumHigh;control;200;125;4.2126;11.678;-0.027;0.119
4;G1;1;all;SpHigh_ChLow;herbivory;300;623;0.9055;2.871;0.074;0.144
4;G2;1;all;SpHigh_ChLow;herbivory;300;715;0.9055;2.116;0.094;0.091
4;G3;1;all;SpHigh_ChLow;herbivory;300;589;0.9055;3.611;0.067;0.193
4;G4;1;all;SpHigh_ChLow;herbivory;300;628;0.9055;2.054;0.075;0.087
4;H1;0;all;SpHigh_ChLow;control;300;243;0.9055;5.469;-0.014;0.307
4;H2;0;all;SpHigh_ChLow;control;300;225;0.9055;11.677;-0.018;0.615
4;H3;0;all;SpHigh_ChLow;control;300;214;0.9055;5.116;-0.021;0.287
4;H4;0;all;SpHigh_ChLow;control;300;235;0.9055;4.340;-0.016;0.240
4;I1;1;all;SpLow_ChHigh;herbivory;100;9;5.7874;7.817;-0.067;0.025
4;I2;1;all;SpLow_ChHigh;herbivory;100;60;5.7874;10.072;-0.029;0.052
4;I4;1;all;SpLow_ChHigh;herbivory;100;37;5.7874;4.887;-0.046;-0.011
4;J1;0;all;SpLow_ChHigh;control;100;196;5.7874;10.438;0.066;0.056
4;J2;0;all;SpLow_ChHigh;control;100;247;5.787401575;15.747;0.100;0.116
4;J3;0;all;SpLow_ChHigh;control;100;204;5.787401575;8.070;0.072;0.028
4;J4;0;all;SpLow_ChHigh;control;100;197;5.787401575;7.906;0.067;0.026
